,ID,COSTO,DIRECCIONDESTINO,DIRECCIONPRINCIPAL,ESTADO,FECHA,IDCIUDAD,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,LOCALIDAD,LOCALIDADDESTINO
0,48167681,11400,KR 50 # CL 6A (CALI),cl 38 # 13 39,CUMPLIDO,1.61724E+12,76001,10381040.85,3.414375,332585.3059,-76.5451307,EFECTIVO,,
1,48167682,7500,DG 40A # AK 7 (BOGOTA),cl. 141 7b - 50,CUMPLIDO,1.61724E+12,11001,10521560.74,4.6258341,607529.4439,-74.0660973,EFECTIVO,USAQUEN,SANTA FE
2,48167683,10200,Calle 152A 8A-96,kr 5b # 190 - 39,CANCELADO,1.61724E+12,11001,10527027.45,4.7303,608027.0124,-74.03187,EFECTIVO,USAQUEN,USAQUEN
3,48167684,10600,Centro Comercial Trebolis El Porvenir,cl 2 # 78m - 25,ABANDONADO,1.61724E+12,11001,10511884.16,4.63879,594266.4866,-74.18394,EFECTIVO,KENNEDY,BOSA
4,48167685,14000,carrera 41 2d-23,kr 90 # 23i - 67,ABANDONADO,1.61724E+12,11001,10516546.55,4.61235,596755.7689,-74.11328,EFECTIVO,FONTIBON,PUENTE ARANDA
5,48167686,5000,CL 40B BIS Sur # 11 - 59 Este,kr 12 este # 51a - 83 sur,CANCELADO,1.61724E+12,11001,10501627.39,4.547777376,601013.1114,-74.08558977,EFECTIVO,SAN CRISTOBAL,SAN CRISTOBAL
6,48167687,,,cra. 62 # 5 a - 64,ABANDONADO,1.61724E+12,11001,10511427.41,,597858.2543,,EFECTIVO,PUENTE ARANDA,
7,48167688,19500,carrera 92 # 74 - 66 sur,cl 15d # 112 - 4,ABANDONADO,1.61724E+12,11001,10517073.67,4.626399914,593705.2391,-74.20421299,EFECTIVO,FONTIBON,BOSA
8,48167689,,KR 111 # 143 - 27,cl 142c # 151a - 5,ABANDONADO,1.61724E+12,11001,10525210.49,4.748115732,597341.4886,-74.10064783,EFECTIVO,SUBA,SUBA
9,48167690,18700,Terminal de Transporte de Bogotá,kr 87g bis a # 58d - 15 sur,CANCELADO,1.61724E+12,11001,10511165.56,4.65432,589952.1355,-74.11452,EFECTIVO,BOSA,FONTIBON
10,48167691,10500,Avenida Primero de Mayo,ac 13 # 15 - 97,ABANDONADO,1.61724E+12,11001,10509064.38,4.60256,601870.4357,-74.12181,EFECTIVO,LOS MARTIRES,PUENTE ARANDA
11,48167692,,cra. 5 este #31c-23 sur,carrera 18q ##14b-11,ABANDONADO,1.61724E+12,25754,10508041.92,4.5579712,586611.4716,-74.0900249,EFECTIVO,,SAN CRISTOBAL
12,48167693,11000,La Vaina Hostel Cali,"cl. 10 oe. #36b-151, cali, valle del cauca, colombia",CANCELADO,1.61724E+12,76001,10381477.48,3.449449,327620.5207,-76.5362325,EFECTIVO,,
13,48167694,6100,Calle 66B 70D-42,kr 68c # 77 - 75,ABANDONADO,1.61724E+12,11001,10520354.62,4.67944,601760.5736,-74.09707,EFECTIVO,ENGATIVA,ENGATIVA
14,48167695,13400,cl 2a # 53a - 65,cl 24 bis # 85b - 24,ABANDONADO,1.61724E+12,11001,10519010.93,4.61503387,597167.4682,-74.11894326,EFECTIVO,FONTIBON,PUENTE ARANDA
15,48167696,,calle 12c 43-79,calle 12c 43-79,ABANDONADO,1.61724E+12,76001,10379502.96,3.415,329699.3929,-76.53297,EFECTIVO,,
16,48167697,,CR 92 # 45 160,cr 92 # 45 160,ABANDONADO,1.61724E+12,76001,10375214.87,3.37643823,331472.3121,-76.51695453,EFECTIVO,,
17,48167698,6800,Calle 22C 24-58,kr 12 # 13 - 69,ABANDONADO,1.61724E+12,11001,10511404.32,4.61886,602301.0058,-74.08119,EFECTIVO,SANTA FE,LOS MARTIRES
18,48167699,20400,Terminal De Transporte De Bogotá - Salitre,kr 78c # 69b - 20 sur,ABANDONADO,1.61724E+12,11001,10511283.52,4.654506001,589829.9086,-74.1151247,EFECTIVO,BOSA,FONTIBON
