ID,AGENTE,AUTOMOVILASIGNADO_ID,CADUCIDADASIGNACIONSERVICIO,CALIFICACIONCONDUCTORASIGNADO,CALIFICACION_USUARIO,CONDUCTORASIGNADO_ID,CONDUCTORESPOSTULADOS,COSTO,DELTACADUCIDADASIGNACION,DIRECCIONCOMPLEMENTARIA,DIRECCIONDESTINO,ESTADO,FECHA,FECHALEGIBLE,HORALANZAMIENTO,IDCIUDAD,IDLLAMADA,IDSERVICIO,INDICACIONES,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,NUMEROVALE,ORIGEN,PLACAAUTOMOVILASIGNADO,PROMEDIOCONDUCTORASIGNADO,PROPINA,TAMANOVEHICULO,TIPOASIGNACION,TIPOSERVICIO,USAPLANILLA,USUARIO,USUARIOAPLICACION_ID,USUARIOTELEFONICO_ID,IDCONDUCTORASIGNADO,DESCPAGO,BARRIOORIGEN,NUMEROCARROS,ANTERIOR,RUTA,CONDUCTOR_CERCANO,RECORRIDO_METROS,DISTANCIA,RECORRIDO_DISTANCIA,CALC_TARIFA,PRELIQUIDACION,TIEMPO,NUMERO_PASAJEROS,COSTO_INTERRUMPIDO
46536004,NULL,126004,180,NULL,NULL,152995853476131979299,NULL,18700,60,NULL,"KR 140C # 132D - 20",CANCELADO,1612137602587,"2021-02-01 00:00:02",NULL,11001,NULL,NULL,NULL,4.686142363601521,4.744884845000058,-74.0481623634696,-74.11604771599991,EFECTIVO,NULL,APP,TSP387,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9005383,NULL,NULL,152995853476131979299,NULL,"SANTA BIBIANA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536005,NULL,109328,180,5,NULL,152778840107114456451,NULL,10700,60,NULL,"TV 65 # CL 59C SUR (BOGOTA)",CUMPLIDO,1612137604463,"2021-02-01 00:00:04",NULL,11001,NULL,NULL,NULL,4.582986729871737,4.585373055000048,-74.12578985095024,-74.15555315899991,EFECTIVO,NULL,APP,VDF261,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8222850,NULL,NULL,152778840107114456451,"Pago definido/preliquidado por 10700",CLARET,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536006,NULL,174742,180,NULL,NULL,150298202821157564306,NULL,17300,60,NULL," carrera 69",CANCELADO,1612137604633,"2021-02-01 00:00:04",NULL,11001,NULL,NULL,NULL,4.768709317000059,4.6918101,-74.04401809799992,-74.0743561,VALE,9996844,APP,FUY951,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9124210,NULL,NULL,150298202821157564306,NULL,"CASA BLANCA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536007,NULL,126044,90,NULL,NULL,156236127913789511518,NULL,7000,60,,"CL 73B # KR 94 (BOGOTA)",CUMPLIDO,1612137604871,"2021-02-01 00:00:04",NULL,11001,17341695,NULL,CASA,4.68857664,4.7022129,-74.08887788,-74.110749,EFECTIVO,NULL,IVR,WCL704,5,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,8256900,NULL,8256900,156236127913789511518,"Pago definido/preliquidado por 7000",BONANZA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536008,NULL,121550,180,NULL,NULL,161814861742154325121,NULL,5200,60,NULL,"cl 46 sur # 24 - 21",CANCELADO,1612137606050,"2021-02-01 00:00:06",NULL,11001,NULL,NULL,NULL,4.579161753357999,4.5791616,-74.12770796567202,-74.1277079,EFECTIVO,NULL,APP,SMS423,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9448766,NULL,NULL,161814861742154325121,NULL,"EL TUNAL ORIENTAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536009,NULL,156380,180,NULL,NULL,161151612842227673112,NULL,16900,60,NULL,"avenida calle 22 # 103b - 22",CANCELADO,1612137608391,"2021-02-01 00:00:08",NULL,11001,NULL,NULL,NULL,4.7161951900000645,4.678862196000068,-74.1337642119999,-74.14297387499994,VALE,9940129,APP,SXN249,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8660701,NULL,NULL,161151612842227673112,NULL,"SAN JOSE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536010,NULL,115629,180,5,NULL,158982319351193748676,NULL,18500,60,NULL,"KR 13ABIS ESTE # CL 45ABIS SUR (BOGOTA)",CUMPLIDO,1612137608546,"2021-02-01 00:00:08",NULL,11001,NULL,NULL,NULL,4.6148361,4.540682166000067,-74.123279,-74.08428663699993,EFECTIVO,NULL,APP,VEE577,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9216407,NULL,NULL,158982319351193748676,"Pago definido/preliquidado por 18500","SIN BARRIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536011,NULL,169959,180,NULL,NULL,148951358261012766513,NULL,13000,60,NULL,"CL 65 Sur # 69B - 55",CANCELADO,1612137613586,"2021-02-01 00:00:13",NULL,11001,NULL,NULL,NULL,4.630516,4.587633823205309,-74.1550197,-74.1597231477499,EFECTIVO,NULL,APP,VEC647,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8968695,NULL,NULL,148951358261012766513,NULL,"CIUDAD KENNEDY NORTE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536012,NULL,140672,90,NULL,NULL,151268386022745023525,NULL,4100,60,"NANCY LUZ","TV 37 # CL 33 SUR (BOGOTA)",CUMPLIDO,1612137614856,"2021-02-01 00:00:14",NULL,11001,17341696,NULL,"APTO 1203",4.63415161,4.5960055,-74.06394348,-74.1207479,EFECTIVO,NULL,IVR,WHS831,5,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,323301,NULL,323301,151268386022745023525,"Pago definido/preliquidado por 4100",MARLY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536013,548,124454,90,NULL,NULL,112261147590396571631,NULL,NULL,60,,NULL,CANCELADO,1612137618796,"2021-02-01 00:00:18",NULL,11001,,NULL,CASA,4.54371317,NULL,-74.13729654,NULL,EFECTIVO,,RECEPCION,TGY274,NULL,NULL,NORMAL,TIEMPO_RUTA,,0,9079526,NULL,9079526,112261147590396571631,NULL,"CASA DE TEJA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
