ID,AGENTE,AUTOMOVILASIGNADO_ID,CADUCIDADASIGNACIONSERVICIO,CALIFICACIONCONDUCTORASIGNADO,CALIFICACION_USUARIO,CONDUCTORASIGNADO_ID,CONDUCTORESPOSTULADOS,COSTO,DELTACADUCIDADASIGNACION,DIRECCIONCOMPLEMENTARIA,DIRECCIONDESTINO,DIRECCIONPRINCIPAL,ESTADO,FECHA,FECHALEGIBLE,HORALANZAMIENTO,IDCIUDAD,IDLLAMADA,IDSERVICIO,INDICACIONES,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,NUMEROVALE,ORIGEN,PLACAAUTOMOVILASIGNADO,PROMEDIOCONDUCTORASIGNADO,PROPINA,TAMANOVEHICULO,TIPOASIGNACION,TIPOSERVICIO,USAPLANILLA,USUARIO,USUARIOAPLICACION_ID,USUARIOTELEFONICO_ID,IDCONDUCTORASIGNADO,PAGOEXITOSO,MOTIVORECHAZO,DIRECCIONMOSTRAR,DESCPAGO,BARRIOORIGEN,NUMEROCARROS,ANTERIOR,RUTA,CONDUCTOR_CERCANO,RECORRIDO_METROS,DISTANCIA,RECORRIDO_DISTANCIA,CALC_TARIFA,PRELIQUIDACION,TIEMPO,NUMERO_PASAJEROS,COSTO_INTERRUMPIDO
45691435,NULL,NULL,180,NULL,NULL,NULL,NULL,16500,60,NULL,"calle 84 sur # 14c - 51","kr 30 # 30 - 21 sur",ABANDONADO,1609459200187,"2021-01-01 00:00:00",NULL,11001,NULL,NULL,NULL,4.592188981349532,4.509430812000062,-74.11575805395842,-74.11739020099992,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8272274,NULL,NULL,NULL,NULL,NULL,"kr 30 # 30 sur - impar",NULL,"SAN JORGE CENTRAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691436,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,32,"LOS ANDES",NULL,"cl 59c # 2 35",ABANDONADO,1609459200553,"2021-01-01 00:00:00",NULL,76001,Sip/Cali_4444444,NULL,,3.46999254,NULL,-76.49444692,NULL,EFECTIVO,NULL,IVR,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,4418953,NULL,4418953,NULL,NULL,NULL,"cl 59 c # 2 - impar",NULL,"LOS ANDES B - LA RIVIERA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691437,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,"cl 69 sur # 20d - 82",CANCELADO,1609459200699,"2021-01-01 00:00:00",NULL,11001,NULL,NULL,NULL,4.562834939717889,NULL,-74.15375657379627,NULL,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9030055,NULL,NULL,NULL,NULL,"USU|AppUsuario|Antes de asignacion","cl 69 sur # 20 d - par",NULL,"JUAN JOSE RONDON",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691438,NULL,NULL,180,NULL,NULL,NULL,NULL,18100,60,NULL,"Barrio la coruna","cl 18 # 99 - 2",CANCELADO,1609459200842,"2021-01-01 00:00:00",NULL,11001,NULL,NULL,NULL,4.6733628093868305,4.578805600004414,-74.14426021277905,-74.15251259757385,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9194488,NULL,NULL,NULL,NULL,"USU|AppUsuario|Ya no necesito el Taxi","cl 18 # 99 - par",NULL,"CENTRO FONTIBON",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691439,NULL,NULL,180,NULL,NULL,NULL,NULL,7500,60,NULL,"kr 85 # 48 - 12 sur","cl 57j sur # 77j - 3",CANCELADO,1609459201510,"2021-01-01 00:00:01",NULL,11001,NULL,NULL,NULL,4.605338620518885,4.6258891600000425,-74.17415175586939,-74.17437111699991,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9279492,NULL,NULL,NULL,NULL,"USU|AppUsuario|Antes de asignacion","cl 57 j sur # 77 j - impar",NULL,"LA UNIDAD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691440,NULL,124911,180,0,5,158419928818697937838,...,24300,60,NULL,"CL 83 # KR 95D (BOGOTA)","kr 61d # 51b - 24 sur",CUMPLIDO,1609459201604,"2021-01-01 00:00:01",NULL,11001,NULL,NULL,NULL,4.587374264990348,4.71219,-74.14887467857096,-74.10611,EFECTIVO,NULL,APP,TSN762,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,3709741,NULL,NULL,158419928818697937838,NULL,NULL,"kr 61 d # 51 b sur - par","Pago definido/preliquidado por 24300","NUEVO MUZU",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691441,NULL,NULL,180,NULL,NULL,NULL,NULL,22100,60,NULL,"Panaderia y Cafeteria Mi Rubis de la 41","kr 65 # 11 - 30",ABANDONADO,1609459202818,"2021-01-01 00:00:02",NULL,11001,NULL,NULL,NULL,4.632370696383172,4.5464204,-74.11614932119846,-74.082498,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9069519,NULL,NULL,NULL,NULL,NULL,"kr 65 # 11 - par",NULL,"SALAZAR GOMEZ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691442,NULL,NULL,180,NULL,NULL,NULL,NULL,8500,60,NULL,"Arborizadora Alta","dg 49c sur # 13j - 52",ABANDONADO,1609459203143,"2021-01-01 00:00:03",NULL,11001,NULL,NULL,NULL,4.566269309765327,4.571933899999999,-74.12514645606278,-74.1555581,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9397351,NULL,NULL,NULL,NULL,NULL,"dg 49 c sur # 13 j - par",NULL,"LA PLAYA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691443,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,32,"SAN CARLOS",NULL,"cr 37 # 31 138",ABANDONADO,1609459203289,"2021-01-01 00:00:03",NULL,76001,Sip/Cali_4444444,NULL,,3.42013005,NULL,-76.51275895,NULL,EFECTIVO,NULL,IVR,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,4192966,NULL,4192966,NULL,NULL,NULL,"kr 37 # 31 - par",NULL,"SAN CARLOS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691444,NULL,NULL,180,NULL,NULL,NULL,NULL,7500,60,NULL,"Centro Comercial Portal De La 80","kr 73 # 90 - 35",CANCELADO,1609459203460,"2021-01-01 00:00:03",NULL,11001,NULL,NULL,NULL,4.706061414393092,4.710666596775582,-74.08941406756638,-74.111772626646,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8121610,NULL,NULL,NULL,NULL,"USU|AppUsuario|Antes de asignacion","kr 73 # 90 - impar",NULL,"EL MORISCO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691445,NULL,NULL,180,NULL,NULL,NULL,NULL,17700,60,NULL,"KR 10D Este # 17B - 26 Sur","cl 74 sur # 38a - 52",CANCELADO,1609459203471,"2021-01-01 00:00:03",NULL,11001,NULL,NULL,NULL,4.567439050578971,4.569843363277331,-74.16479822248219,-74.07918512821196,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8666405,NULL,NULL,NULL,NULL,"USU|AppUsuario|Antes de asignacion","cl 74 sur # 38 a - par",NULL,"ARBORIZADORA ALTA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691446,150,121180,90,NULL,5,152769130951653789838,...,11200,60,NULL,"KR 54 # CL 107A (BOGOTA)","av  cr  28 39b 08",CUMPLIDO,1609459203688,"2021-01-01 00:00:03",NULL,11001,17089051,NULL,CASA,4.62974874,4.6968383,-74.07811903,-74.0639336,EFECTIVO,,RECEPCION,SMS194,5,NULL,NORMAL,TIEMPO_RUTA,,0,3590527,NULL,3590527,152769130951653789838,NULL,NULL,"ak 28 # 39 b - par","Pago definido/preliquidado por 11200","LA SOLEDAD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691447,NULL,162747,180,NULL,NULL,155897391221252254377,...,8400,60,NULL,"KR 78A # 66 - 14 Sur","kr 77w # 45a - 26 sur",CANCELADO,1609459203884,"2021-01-01 00:00:03",NULL,11001,NULL,NULL,NULL,4.6098531903117985,4.600805142000071,-74.16267882655792,-74.18751951399992,EFECTIVO,NULL,APP,VED803,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8747879,NULL,NULL,155897391221252254377,NULL,"CON|Usuario Se fue","kr 77 w # 45 a sur - par",NULL,JAQUELIN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691448,NULL,NULL,180,NULL,NULL,NULL,NULL,9500,60,NULL,"Calle 38F Sur # 68D - 15","kr 82b # 41d - 27 sur",ABANDONADO,1609459203936,"2021-01-01 00:00:04",NULL,11001,NULL,NULL,NULL,4.6290338,4.602133123000045,-74.1668544,-74.13769804899995,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8858704,NULL,NULL,NULL,NULL,NULL,"kr 82 b # 41 d sur - impar",NULL,CONCORDIA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691449,NULL,NULL,180,NULL,NULL,NULL,NULL,16000,60,NULL,"CL 17 Sur # 18 - 13","kr 81h # 51c - 3 sur",ABANDONADO,1609459204144,"2021-01-01 00:00:04",NULL,11001,NULL,NULL,NULL,4.621358346947849,4.585556423000071,-74.17552806437016,-74.10084140799995,EFECTIVO,NULL,APP,NULL,NULL,5000,NORMAL,TIEMPO_RUTA,NORMAL,0,9386500,NULL,NULL,NULL,NULL,NULL,"kr 81 h # 51 c sur - impar",NULL,"GRAN BRITALIA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691450,NULL,NULL,180,NULL,NULL,NULL,NULL,13000,60,NULL,"Surtimayorista Zarzamo","ac 138 # 59a - 98",ABANDONADO,1609459204532,"2021-01-01 00:00:04",NULL,11001,NULL,NULL,NULL,4.729800398272845,4.6981,-74.06822863966227,-74.1094,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,956934,NULL,NULL,NULL,NULL,NULL,"ac 138 # 59 a - par",NULL,ATENAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691451,NULL,NULL,180,NULL,NULL,NULL,NULL,24400,60,NULL,"Carrera 83 # 42F - 84 Sur","cl 72 # 10 - 70",CANCELADO,1609459204882,"2021-01-01 00:00:04",NULL,11001,NULL,NULL,NULL,4.657141422200895,4.628034765000052,-74.05788939446211,-74.16937352899993,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9083706,NULL,NULL,NULL,NULL,"USU|AppUsuario|Antes de asignacion","cl 72 # 10 - par",NULL,"LA PORCIUNCULA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691452,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,32,"MARROQUIN 2",NULL,"dg 26i # 96 18",ABANDONADO,1609459205745,"2021-01-01 00:00:05",NULL,76001,Sip/Cali_4444444,NULL,,3.42913254,NULL,-76.47849827,NULL,EFECTIVO,NULL,IVR,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,4310344,NULL,4310344,NULL,NULL,NULL,"dg 26 i # 96 - par",NULL,"JOSE MANUEL MARROQUIN II ETAPA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691453,NULL,NULL,90,NULL,NULL,NULL,NULL,NULL,32,"SAN ANTONIO",NULL,"cl 1 # 10 30",ABANDONADO,1609459206294,"2021-01-01 00:00:06",NULL,76001,Sip/Cali_4444444,NULL,NULL,3.44652116,NULL,-76.54101414,NULL,EFECTIVO,NULL,IVR,NULL,NULL,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,4925184,NULL,4925184,NULL,NULL,NULL,"cl 1 # 10 - par",NULL,"SAN ANTONIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691454,NULL,NULL,180,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,"kr 25 # 22 - 12",ABANDONADO,1609459206322,"2021-01-01 00:00:06",NULL,11001,NULL,NULL,NULL,4.617682624340187,NULL,-74.08330332487823,NULL,EFECTIVO,NULL,APP,NULL,NULL,5000,NORMAL,TIEMPO_RUTA,NORMAL,0,9397367,NULL,NULL,NULL,NULL,NULL,"kr 25 # 22 - par",NULL,"SAMPER MENDOZA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691455,NULL,NULL,180,NULL,NULL,NULL,NULL,11300,60,NULL,"kr 90a # 45a - 5 sur","kr 77h # 65i - 5 sur",ABANDONADO,1609459206444,"2021-01-01 00:00:06",NULL,11001,NULL,NULL,NULL,4.597045890855429,4.6365995,-74.18594744056463,-74.1768775,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9338157,NULL,NULL,NULL,NULL,NULL,"kr 77 h # 65 i sur - impar",NULL,"ESTACION BOSA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691456,NULL,NULL,180,NULL,NULL,NULL,NULL,5700,60,NULL,Trinitaria,"kr 103b # 152 - 97",ABANDONADO,1609459206961,"2021-01-01 00:00:07",NULL,11001,NULL,NULL,NULL,4.752547559141721,4.73865,-74.09158062189817,-74.09362,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8545271,NULL,NULL,NULL,NULL,NULL,"kr 103 b # 152 - impar",NULL,"TURINGIA II",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45691457,NULL,NULL,180,NULL,NULL,NULL,NULL,24800,60,NULL,"KR 14 Este # 42C - 32 Sur","kr 29c # 74a - 24",CANCELADO,1609459207009,"2021-01-01 00:00:07",NULL,11001,NULL,NULL,NULL,4.6690671506749,4.544339161000039,-74.07129038125277,-74.08301859199992,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8922083,NULL,NULL,NULL,NULL,"USU|AppUsuario|Antes de asignacion","kr 29 c # 74 a - par",NULL,"ONCE DE NOVIEMBRE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
